id,value
TemporaryArchitecture.public&nbsp;safety&#47;exlusion.red&nbsp;zone,134
TemporaryArchitecture.public&nbsp;space&nbsp;improvement,
TemporaryArchitecture.public&nbsp;space&nbsp;improvement.Arcades&nbsp;Project,152
TemporaryArchitecture.public&nbsp;space&nbsp;improvement.busExchangeSeats,294
TemporaryArchitecture.public&nbsp;space&nbsp;improvement.CCC&nbsp;TemporaryFurniture,268
TemporaryArchitecture.public&nbsp;space&nbsp;improvement.colombo&nbsp;street&nbsp;,44
TemporaryArchitecture.public&nbsp;space&nbsp;improvement.GapFiller&nbsp;Kaiapoi,190
TemporaryArchitecture.public&nbsp;space&nbsp;improvement.temporary&nbsp;bus&nbsp;exchange,46
TemporaryArchitecture.public&nbsp;space&nbsp;improvement.temporary&nbsp;oxford&nbsp;street,42
TemporaryArchitecture.retail,
TemporaryArchitecture.retail.Dairy&nbsp;Container&nbsp;Colombo&nbsp;Street,188
TemporaryArchitecture.retail.DairyGarden,298
TemporaryArchitecture.retail.OutoftheBox,218
TemporaryArchitecture.retail.PikoPopUpShop,296
TemporaryArchitecture.retail.Plume,124
TemporaryArchitecture.retail.Restart,10
TemporaryArchitecture.retail.TheVillageGrape,226
TemporaryArchitecture.sports,
TemporaryArchitecture.sports.BMX&nbsp;Track,206
TemporaryArchitecture.sports.Christchurch&nbsp;Stadium,270
TemporaryArchitecture.sports.GapGolf,180
TemporaryArchitecture.sports.Lyttelton&nbsp;Downhill,364
TemporaryArchitecture.sports.Street&nbsp;Football,208
TemporaryArchitecture.sports.Sumner&nbsp;Skate&nbsp;Park,202
TemporaryArchitecture.street&nbsp;art,
TemporaryArchitecture.street&nbsp;art.Band&nbsp;aid&nbsp;art&nbsp;work,70
TemporaryArchitecture.street&nbsp;art.best&nbsp;demo,75
TemporaryArchitecture.street&nbsp;art.Brighton&nbsp;Up,120
TemporaryArchitecture.street&nbsp;art.Capitalism&nbsp;has&nbsp;collapsed,66
TemporaryArchitecture.street&nbsp;art.Frames,350
TemporaryArchitecture.street&nbsp;art.Greenzone,288
TemporaryArchitecture.street&nbsp;art.JellyinSumner,286
TemporaryArchitecture.street&nbsp;art.Man&nbsp;About&nbsp;Town,80
TemporaryArchitecture.street&nbsp;art.Mural&nbsp;Madness,118
TemporaryArchitecture.street&nbsp;art.nom&nbsp;nom,74
TemporaryArchitecture.street&nbsp;art.Now&nbsp;panic&nbsp;and&nbsp;freak&nbsp;out,72
TemporaryArchitecture.street&nbsp;art.Pages&nbsp;Mural,336
TemporaryArchitecture.street&nbsp;art.Phoenix&nbsp;Wall,284
TemporaryArchitecture.street&nbsp;art.Te&nbsp;Ariki&nbsp;,266
TemporaryArchitecture.street&nbsp;art.Unauthorised&nbsp;Personal&nbsp;,334
TemporaryArchitecture.street&nbsp;art.Why&nbsp;is&nbsp;this&nbsp;real&nbsp;not&nbsp;that?,68
TemporaryArchitecture.street&nbsp;art.Wonky&nbsp;Peterborough,82
TemporaryArchitecture.theatre&#47;performance,
TemporaryArchitecture.theatre&#47;performance.Breaking&nbsp;Wonderful,356
TemporaryArchitecture.theatre&#47;performance.Earthquake&nbsp;in&nbsp;Chile,246
TemporaryArchitecture.theatre&#47;performance.End&nbsp;of&nbsp;the&nbsp;Line,358
TemporaryArchitecture.theatre&#47;performance.Hereafter,248
TemporaryArchitecture.theatre&#47;performance.Homer&nbsp;on&nbsp;the&nbsp;Range,276
TemporaryArchitecture.theatre&#47;performance.Kissing&nbsp;Booth,360
TemporaryArchitecture.theatre&#47;performance.MacBeth,318
TemporaryArchitecture.theatre&#47;performance.Social&nbsp;Soup,330
TemporaryArchitecture.theatre&#47;performance.Stand&nbsp;Your&nbsp;Ground,162
TemporaryArchitecture.toilets,
TemporaryArchitecture.toilets.portaloos,58
TemporaryArchitecture.toilets.portaloos&nbsp;sumner,60
TemporaryArchitecture.&#47;event,
TemporaryArchitecture.&#47;event.Art&nbsp;Beat,316
TemporaryArchitecture.&#47;event.Buskers&nbsp;Festival,94
TemporaryArchitecture.&#47;event.Gap&nbsp;Filler&nbsp;Fun&nbsp;Fair,160
TemporaryArchitecture.&#47;event.GapFiller&nbsp;1,154
TemporaryArchitecture.&#47;event.luxcity,50
TemporaryArchitecture.&#47;event.Reentry,184
TemporaryArchitecture.&#47;event.Songs&nbsp;For&nbsp;Christchurch,380
TemporaryArchitecture.&#47;event.SVA&nbsp;TheConcert,234
